mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11.564777692159018,2.0699804738717726,0.024364233016967773,0.0012541088764892333,0.12236203565420874,7,64,"{'learning_rate': np.float64(0.12236203565420874), 'max_depth': 7, 'n_estimators': 64}",-5.211886189374836,-5.040364971086514,-5.999895322821877,-5.417382161094409,0.4178086242687963,4
13.913549105326334,3.39065598768161,0.020743926366170246,0.0010764376854065561,0.22959818254342154,7,70,"{'learning_rate': np.float64(0.22959818254342154), 'max_depth': 7, 'n_estimators': 70}",-5.190092774017224,-5.010023187278893,-5.960271270851977,-5.386795744049365,0.4121180242747447,3
21.965521812438965,2.6463957321615,0.04202087720235189,0.006525844005275036,0.05680559213273095,5,124,"{'learning_rate': np.float64(0.05680559213273095), 'max_depth': 5, 'n_estimators': 124}",-5.243659811545147,-5.080840163932808,-6.020081828860433,-5.4481939347794635,0.4098124627675664,7
27.653299411137898,3.6801015595202906,0.07735196749369304,0.02516293395789952,0.14777466758976016,7,149,"{'learning_rate': np.float64(0.14777466758976016), 'max_depth': 7, 'n_estimators': 149}",-5.160562639511603,-4.99099664484626,-5.934978329390495,-5.3621792045827865,0.4109033014161767,1
37.53781723976135,4.983980862606591,0.05499418576558431,0.004318093759421731,0.05286004537658223,5,199,"{'learning_rate': np.float64(0.05286004537658223), 'max_depth': 5, 'n_estimators': 199}",-5.2307157784494445,-5.069629271130865,-6.000589303236955,-5.433644784272421,0.40624851293920206,5
16.89616560935974,3.8556238650887504,0.04073651631673177,0.003172034035913879,0.02692347370813008,6,87,"{'learning_rate': np.float64(0.02692347370813008), 'max_depth': 6, 'n_estimators': 87}",-5.269263994248234,-5.107813169187415,-6.125813459610782,-5.500963541015477,0.4467248652169284,8
11.873657941818237,2.1916997654217805,0.025629440943400066,0.0017149613663202787,0.010233629752304298,6,70,"{'learning_rate': np.float64(0.010233629752304298), 'max_depth': 6, 'n_estimators': 70}",-6.148800443471417,-6.02435030426535,-7.325212311591656,-6.499454353109474,0.5861052884846986,10
11.376220941543579,2.3954734206134463,0.01166550318400065,0.0004766957682689926,0.19524445288831496,4,71,"{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}",-5.248020893107861,-5.083340431806867,-5.994842812360493,-5.442068045758407,0.396610531485293,6
14.788825750350952,2.6966938163251157,0.016805489857991535,0.0010519118734691995,0.012119891565915222,3,98,"{'learning_rate': np.float64(0.012119891565915222), 'max_depth': 3, 'n_estimators': 98}",-5.765373401660253,-5.646932934225323,-6.783589067794077,-6.065298467893218,0.5102045834832686,9
12.357783476511637,2.0651190336650935,0.031269073486328125,0.0025631928260273686,0.16743239807751675,9,64,"{'learning_rate': np.float64(0.16743239807751675), 'max_depth': 9, 'n_estimators': 64}",-5.181986388632504,-5.012739128960995,-5.961019858555687,-5.3852484587163945,0.4129533366546009,2
